method,mse,umg
gp_mle,3.3998837020315715,0.9611656821751732
kriging,3.3122649297599,0.9497688104245482
rbf_bootstrap,3.725555172458018,0.5278688524590164
sgs,3.612560450616712,0.9043295502311895
