method,p_interval,fraction_in
kriging,0.0,0.0
kriging,0.05263157894736842,0.05086170659941152
kriging,0.10526315789473684,0.09541824295922656
kriging,0.15789473684210525,0.14081546868432115
kriging,0.21052631578947367,0.19293820933165196
kriging,0.2631578947368421,0.24043715846994534
kriging,0.3157894736842105,0.29718369062631356
kriging,0.3684210526315789,0.346364018495166
kriging,0.42105263157894735,0.3921815889029004
kriging,0.47368421052631576,0.4396805380411938
kriging,0.5263157894736842,0.4939050021017234
kriging,0.5789473684210527,0.5435056746532156
kriging,0.631578947368421,0.5901639344262295
kriging,0.6842105263157894,0.6443883984867591
kriging,0.7368421052631579,0.6918873476250526
kriging,0.7894736842105263,0.7431693989071039
kriging,0.8421052631578947,0.7961328289197142
kriging,0.894736842105263,0.8650693568726355
kriging,0.9473684210526315,0.926860025220681
kriging,1.0,1.0
sgs,0.0,0.0
sgs,0.05263157894736842,0.04791929382093316
sgs,0.10526315789473684,0.08743169398907104
sgs,0.15789473684210525,0.1403951240016814
sgs,0.21052631578947367,0.18957545187053385
sgs,0.2631578947368421,0.2353930222782682
sgs,0.3157894736842105,0.27826817990752417
sgs,0.3684210526315789,0.32576712904581756
sgs,0.42105263157894735,0.37368642286675074
sgs,0.47368421052631576,0.416141235813367
sgs,0.5263157894736842,0.46490121899957965
sgs,0.5789473684210527,0.5098781000420345
sgs,0.631578947368421,0.560739806641446
sgs,0.6842105263157894,0.6116015132408575
sgs,0.7368421052631579,0.648171500630517
sgs,0.7894736842105263,0.7061790668348046
sgs,0.8421052631578947,0.7595628415300546
sgs,0.894736842105263,0.8116855821773854
sgs,0.9473684210526315,0.8764186633039092
sgs,1.0,0.9995796553173603
rbf_bootstrap,0.0,0.0
rbf_bootstrap,0.05263157894736842,0.01639344262295082
rbf_bootstrap,0.10526315789473684,0.032366540563261874
rbf_bootstrap,0.15789473684210525,0.04833963850357293
rbf_bootstrap,0.21052631578947367,0.06305170239596469
rbf_bootstrap,0.2631578947368421,0.07440100882723834
rbf_bootstrap,0.3157894736842105,0.08364859184531316
rbf_bootstrap,0.3684210526315789,0.10298444724674233
rbf_bootstrap,0.42105263157894735,0.11937788986969315
rbf_bootstrap,0.47368421052631576,0.13829340058848255
rbf_bootstrap,0.5263157894736842,0.15973097940311054
rbf_bootstrap,0.5789473684210527,0.17906683480453972
rbf_bootstrap,0.631578947368421,0.1984026902059689
rbf_bootstrap,0.6842105263157894,0.22362337116435477
rbf_bootstrap,0.7368421052631579,0.2459016393442623
rbf_bootstrap,0.7894736842105263,0.2770071458596049
rbf_bootstrap,0.8421052631578947,0.3097940311055065
rbf_bootstrap,0.894736842105263,0.3547709121479613
rbf_bootstrap,0.9473684210526315,0.41277847835224885
rbf_bootstrap,1.0,0.949978982765868
gp_mle,0.0,0.0
gp_mle,0.05263157894736842,0.042034468263976464
gp_mle,0.10526315789473684,0.10550651534258092
gp_mle,0.15789473684210525,0.14754098360655737
gp_mle,0.21052631578947367,0.19209751996637242
gp_mle,0.2631578947368421,0.24043715846994534
gp_mle,0.3157894736842105,0.29045817570407734
gp_mle,0.3684210526315789,0.3455233291298865
gp_mle,0.42105263157894735,0.4001681378730559
gp_mle,0.47368421052631576,0.4510298444724674
gp_mle,0.5263157894736842,0.5006305170239597
gp_mle,0.5789473684210527,0.5510718789407314
gp_mle,0.631578947368421,0.6094997898276587
gp_mle,0.6842105263157894,0.6591004623791509
gp_mle,0.7368421052631579,0.7095418242959226
gp_mle,0.7894736842105263,0.7578814627994955
gp_mle,0.8421052631578947,0.8036990332072299
gp_mle,0.894736842105263,0.8713745271122321
gp_mle,0.9473684210526315,0.9344262295081968
gp_mle,1.0,1.0
