axis_level,method,metric,mean,std,min,max,n_replicates
5,kriging,mse,3.0048616287232113,0.18511318358143491,2.7736584724188296,3.3048161819782953,10
5,kriging,umg,0.9751155525274922,0.011949623900145919,0.9560084033613445,0.9903862300587741,10
5,kriging,variance_mean,3.5946558413003715,0.27948981811399226,3.0556609107020547,4.015570754952021,10
5,sgs,mse,3.274920384797112,0.1795267007313445,2.9518398029394657,3.5491346122370526,10
5,sgs,umg,0.9745780741934349,0.01625873037900034,0.9497721289352006,0.9916519239274657,10
5,sgs,variance_mean,3.586921859673096,0.28986905572016636,3.0821756876569624,4.024363826047477,10
5,rbf_bootstrap,mse,3.1126980219634084,0.239970464237363,2.7117677935682414,3.4759622194053192,10
5,rbf_bootstrap,umg,0.5514228633524483,0.0692922834767284,0.37988215488215493,0.6193534844668347,10
5,rbf_bootstrap,variance_mean,0.741074946934044,0.20005749891074312,0.2448513762436547,1.0233539480392522,10
5,gp_mle,mse,2.9873349523778594,0.18627313353635136,2.6910652138232876,3.2874201110513908,10
5,gp_mle,umg,0.9768632237283592,0.010157222221055317,0.9625367492650148,0.9909409553295003,10
5,gp_mle,variance_mean,2.93189002588469,0.22052391113664171,2.6005882134501688,3.3329774329549675,10
2,kriging,mse,4.752163488201422,1.4839476993157568,3.4070796982188445,8.612879841980517,10
2,kriging,umg,0.9451975160021341,0.03346313340634368,0.8802857142857143,0.9908635875402793,10
2,kriging,variance_mean,5.637970142221346,1.0444774664985976,4.048741545010433,7.0938306885251015,10
2,sgs,mse,4.770574549296489,0.6526872405886048,3.6533709195951727,5.66599446583457,10
2,sgs,umg,0.9432574856583287,0.05714914480994801,0.8320000000000001,0.9937780497756018,10
2,sgs,variance_mean,5.4393004148881605,1.117107276640356,3.7281264203498767,7.160478561274722,10
2,rbf_bootstrap,mse,5.25886469347012,2.3822162142099477,3.4768601406685997,11.88543929088148,10
2,rbf_bootstrap,umg,0.5494003602171282,0.09318824212063075,0.37339861281109754,0.647879282218597,10
2,rbf_bootstrap,variance_mean,1.562228759886424,1.6434993468178858,0.444835301315293,6.109813327218154,10
2,gp_mle,mse,4.356588662918879,0.6668477897148056,3.5812656118298665,5.663047970504259,10
2,gp_mle,umg,0.936558890866422,0.07143953174233027,0.8037551020408163,0.994102817173386,10
2,gp_mle,variance_mean,4.292376251474734,0.8292230110667919,2.9079941522824826,5.22897310057931,10
1,kriging,mse,6.532967472898574,1.5412612191841415,4.373941512397055,8.91217037479844,10
1,kriging,umg,0.9119618320351719,0.06196812450489772,0.8161616161616162,0.9867421584263689,10
1,kriging,variance_mean,7.335778492013501,2.6767210882435815,5.042860995993854,14.349918245434898,10
1,sgs,mse,6.616366035195419,1.2906334854102972,4.941714540043782,8.33865962195602,10
1,sgs,umg,0.8992771470765817,0.07306207673029179,0.7447272727272727,0.9882402977139819,10
1,sgs,variance_mean,6.932987828791587,2.9028305155860084,4.238250770587534,14.345945967997109,10
1,rbf_bootstrap,mse,6.396258351093156,1.2533945770814672,4.371148272009675,8.110229908109838,10
1,rbf_bootstrap,umg,0.4401746055057848,0.14379009728538006,0.278141414141414,0.7118383838383838,10
1,rbf_bootstrap,variance_mean,0.844715423441549,0.6015775749511184,0.28777254498115473,1.9989193445939089,10
1,gp_mle,mse,6.132633179822852,1.232869693079195,4.520799590249121,7.9154979099937695,10
1,gp_mle,umg,0.8974033947158,0.08011906619449012,0.7868282828282829,0.9881281353626392,10
1,gp_mle,variance_mean,5.355154895820213,1.7474794028707747,3.4407865141482725,9.177265485802582,10
5,gp_mle,length_scale_practical_range_m,235.01110581015365,26.033712502342837,179.0591674421537,270.64042777924607,10
5,rbf_bootstrap,length_scale_rbf_converted_m,253.59473512246518,72.20953193198675,176.35640923840472,426.4776210092457,10
2,gp_mle,length_scale_practical_range_m,335.09444726498424,156.22273398336537,183.20208742931544,728.0076488826114,10
2,rbf_bootstrap,length_scale_rbf_converted_m,414.5062333103213,204.3869100199654,176.35640923840472,827.0371084000278,10
1,gp_mle,length_scale_practical_range_m,323.17688829936003,190.587325450353,144.60016792068575,739.9215132558131,10
1,rbf_bootstrap,length_scale_rbf_converted_m,551.5959769375811,458.31361221401613,141.4213562373095,1603.8130606994978,10
