case,axis,axis_level,replicate,method,metric,value
sample_replicate_axis,sample_seed_replicate,5,rep5,sgs,variance_mean,3.512478962914147
sample_replicate_axis,sample_seed_replicate,5,rep6,gp_mle,mse,3.0969389338189925
sample_replicate_axis,sample_seed_replicate,5,rep6,gp_mle,umg,0.9647330811265238
sample_replicate_axis,sample_seed_replicate,5,rep6,gp_mle,variance_mean,2.6780295054817222
sample_replicate_axis,sample_seed_replicate,5,rep6,kriging,mse,3.3048161819782953
sample_replicate_axis,sample_seed_replicate,5,rep6,kriging,umg,0.9829882082254817
sample_replicate_axis,sample_seed_replicate,5,rep6,kriging,variance_mean,3.0556609107020547
sample_replicate_axis,sample_seed_replicate,5,rep6,rbf_bootstrap,mse,3.3569010230425746
sample_replicate_axis,sample_seed_replicate,5,rep6,rbf_bootstrap,umg,0.4899537620849096
sample_replicate_axis,sample_seed_replicate,5,rep6,rbf_bootstrap,variance_mean,0.6881938879982149
sample_replicate_axis,sample_seed_replicate,5,rep6,sgs,mse,3.2612491556956757
sample_replicate_axis,sample_seed_replicate,5,rep6,sgs,umg,0.9497721289352006
sample_replicate_axis,sample_seed_replicate,5,rep6,sgs,variance_mean,3.0821756876569624
sample_replicate_axis,sample_seed_replicate,5,rep7,gp_mle,mse,3.000063049245135
sample_replicate_axis,sample_seed_replicate,5,rep7,gp_mle,umg,0.9879093198992444
sample_replicate_axis,sample_seed_replicate,5,rep7,gp_mle,variance_mean,3.3329774329549675
sample_replicate_axis,sample_seed_replicate,5,rep7,kriging,mse,2.9824311633261913
sample_replicate_axis,sample_seed_replicate,5,rep7,kriging,umg,0.9903862300587741
sample_replicate_axis,sample_seed_replicate,5,rep7,kriging,variance_mean,3.446070815699383
sample_replicate_axis,sample_seed_replicate,5,rep7,rbf_bootstrap,mse,2.9930602449457804
sample_replicate_axis,sample_seed_replicate,5,rep7,rbf_bootstrap,umg,0.6193534844668347
sample_replicate_axis,sample_seed_replicate,5,rep7,rbf_bootstrap,variance_mean,1.0233539480392522
sample_replicate_axis,sample_seed_replicate,5,rep7,sgs,mse,3.200933982291361
sample_replicate_axis,sample_seed_replicate,5,rep7,sgs,umg,0.9544920235096558
sample_replicate_axis,sample_seed_replicate,5,rep7,sgs,variance_mean,3.345432057330111
sample_replicate_axis,sample_seed_replicate,5,rep8,gp_mle,mse,2.7354643882294782
sample_replicate_axis,sample_seed_replicate,5,rep8,gp_mle,umg,0.9784595473551471
sample_replicate_axis,sample_seed_replicate,5,rep8,gp_mle,variance_mean,2.9543517861948967
sample_replicate_axis,sample_seed_replicate,5,rep8,kriging,mse,2.8240937971212907
sample_replicate_axis,sample_seed_replicate,5,rep8,kriging,umg,0.9663303909205548
sample_replicate_axis,sample_seed_replicate,5,rep8,kriging,variance_mean,3.7516744103869843
sample_replicate_axis,sample_seed_replicate,5,rep8,rbf_bootstrap,mse,2.7863135835162756
sample_replicate_axis,sample_seed_replicate,5,rep8,rbf_bootstrap,umg,0.5889029003783102
sample_replicate_axis,sample_seed_replicate,5,rep8,rbf_bootstrap,variance_mean,0.8957262201446453
sample_replicate_axis,sample_seed_replicate,5,rep8,sgs,mse,2.9518398029394657
sample_replicate_axis,sample_seed_replicate,5,rep8,sgs,umg,0.9895168248490078
sample_replicate_axis,sample_seed_replicate,5,rep8,sgs,variance_mean,3.6700560991238524
sample_replicate_axis,sample_seed_replicate,5,rep9,gp_mle,mse,2.6910652138232876
sample_replicate_axis,sample_seed_replicate,5,rep9,gp_mle,umg,0.98484409553295
sample_replicate_axis,sample_seed_replicate,5,rep9,gp_mle,variance_mean,2.9411137557821903
sample_replicate_axis,sample_seed_replicate,5,rep9,kriging,mse,2.7736584724188296
sample_replicate_axis,sample_seed_replicate,5,rep9,kriging,umg,0.9560084033613445
sample_replicate_axis,sample_seed_replicate,5,rep9,kriging,variance_mean,3.9446329898864234
sample_replicate_axis,sample_seed_replicate,5,rep9,rbf_bootstrap,mse,2.7117677935682414
sample_replicate_axis,sample_seed_replicate,5,rep9,rbf_bootstrap,umg,0.5644537815126051
sample_replicate_axis,sample_seed_replicate,5,rep9,rbf_bootstrap,variance_mean,0.7084838225470927
sample_replicate_axis,sample_seed_replicate,5,rep9,sgs,mse,3.103467181198873
sample_replicate_axis,sample_seed_replicate,5,rep9,sgs,umg,0.9916519239274657
sample_replicate_axis,sample_seed_replicate,5,rep9,sgs,variance_mean,3.957651248283114
sample_replicate_axis,sample_seed_replicate,2,rep0,gp_mle,mse,3.6154255335772723
sample_replicate_axis,sample_seed_replicate,2,rep0,gp_mle,umg,0.9893910449042672
sample_replicate_axis,sample_seed_replicate,2,rep0,gp_mle,variance_mean,4.860608968345764
sample_replicate_axis,sample_seed_replicate,2,rep0,kriging,mse,3.4070796982188445
sample_replicate_axis,sample_seed_replicate,2,rep0,kriging,umg,0.9141924959216965
sample_replicate_axis,sample_seed_replicate,2,rep0,kriging,variance_mean,6.513694985895024
sample_replicate_axis,sample_seed_replicate,2,rep0,rbf_bootstrap,mse,3.4768601406685997
sample_replicate_axis,sample_seed_replicate,2,rep0,rbf_bootstrap,umg,0.647879282218597
sample_replicate_axis,sample_seed_replicate,2,rep0,rbf_bootstrap,variance_mean,1.424132772889557
sample_replicate_axis,sample_seed_replicate,2,rep0,sgs,mse,3.6533709195951727
sample_replicate_axis,sample_seed_replicate,2,rep0,sgs,umg,0.9513254486133769
sample_replicate_axis,sample_seed_replicate,2,rep0,sgs,variance_mean,6.20347093173251
sample_replicate_axis,sample_seed_replicate,2,rep1,gp_mle,mse,4.031106528199739
sample_replicate_axis,sample_seed_replicate,2,rep1,gp_mle,umg,0.9723845327604725
sample_replicate_axis,sample_seed_replicate,2,rep1,gp_mle,variance_mean,5.022843504575722
sample_replicate_axis,sample_seed_replicate,2,rep1,kriging,mse,4.434736145322962
sample_replicate_axis,sample_seed_replicate,2,rep1,kriging,umg,0.9308947368421052
sample_replicate_axis,sample_seed_replicate,2,rep1,kriging,variance_mean,7.0938306885251015
sample_replicate_axis,sample_seed_replicate,2,rep1,rbf_bootstrap,mse,4.329210685890862
sample_replicate_axis,sample_seed_replicate,2,rep1,rbf_bootstrap,umg,0.6450204081632653
sample_replicate_axis,sample_seed_replicate,2,rep1,rbf_bootstrap,variance_mean,1.6390280622475735
sample_replicate_axis,sample_seed_replicate,2,rep1,sgs,mse,4.507876763728082
sample_replicate_axis,sample_seed_replicate,2,rep1,sgs,umg,0.9711224489795918
sample_replicate_axis,sample_seed_replicate,2,rep1,sgs,variance_mean,6.693776344569753
sample_replicate_axis,sample_seed_replicate,2,rep2,gp_mle,mse,3.992587207522929
sample_replicate_axis,sample_seed_replicate,2,rep2,gp_mle,umg,0.9919828641370869
sample_replicate_axis,sample_seed_replicate,2,rep2,gp_mle,variance_mean,4.054623279289547
sample_replicate_axis,sample_seed_replicate,2,rep2,kriging,mse,4.17595123665381
sample_replicate_axis,sample_seed_replicate,2,rep2,kriging,umg,0.9709914320685434
sample_replicate_axis,sample_seed_replicate,2,rep2,kriging,variance_mean,5.657548878975181
sample_replicate_axis,sample_seed_replicate,2,rep2,rbf_bootstrap,mse,4.160600705962084
sample_replicate_axis,sample_seed_replicate,2,rep2,rbf_bootstrap,umg,0.4049775601795186
sample_replicate_axis,sample_seed_replicate,2,rep2,rbf_bootstrap,variance_mean,0.47157955954185193
