axis_level,method,p_interval,fraction_in
2,kriging,0.0,0.0
2,kriging,0.05263157894736842,0.05020408163265306
2,kriging,0.10526315789473684,0.1073469387755102
2,kriging,0.15789473684210525,0.16040816326530613
2,kriging,0.21052631578947367,0.20857142857142857
2,kriging,0.2631578947368421,0.26326530612244897
2,kriging,0.3157894736842105,0.31918367346938775
2,kriging,0.3684210526315789,0.37795918367346937
2,kriging,0.42105263157894735,0.43918367346938775
2,kriging,0.47368421052631576,0.5020408163265306
2,kriging,0.5263157894736842,0.5657142857142857
2,kriging,0.5789473684210527,0.6244897959183674
2,kriging,0.631578947368421,0.6783673469387755
2,kriging,0.6842105263157894,0.7212244897959184
2,kriging,0.7368421052631579,0.7644897959183673
2,kriging,0.7894736842105263,0.8093877551020409
2,kriging,0.8421052631578947,0.856326530612245
2,kriging,0.894736842105263,0.906530612244898
2,kriging,0.9473684210526315,0.9457142857142857
2,kriging,1.0,1.0
2,sgs,0.0,0.0
2,sgs,0.05263157894736842,0.054693877551020405
2,sgs,0.10526315789473684,0.10653061224489796
2,sgs,0.15789473684210525,0.15306122448979592
2,sgs,0.21052631578947367,0.2057142857142857
2,sgs,0.2631578947368421,0.26693877551020406
2,sgs,0.3157894736842105,0.3236734693877551
2,sgs,0.3684210526315789,0.3763265306122449
2,sgs,0.42105263157894735,0.43183673469387757
2,sgs,0.47368421052631576,0.4828571428571429
2,sgs,0.5263157894736842,0.5261224489795918
2,sgs,0.5789473684210527,0.5812244897959183
2,sgs,0.631578947368421,0.6342857142857142
2,sgs,0.6842105263157894,0.6812244897959183
2,sgs,0.7368421052631579,0.7359183673469388
2,sgs,0.7894736842105263,0.7783673469387755
2,sgs,0.8421052631578947,0.8273469387755102
2,sgs,0.894736842105263,0.8755102040816326
2,sgs,0.9473684210526315,0.9326530612244898
2,sgs,1.0,1.0
2,rbf_bootstrap,0.0,0.0
2,rbf_bootstrap,0.05263157894736842,0.024081632653061225
2,rbf_bootstrap,0.10526315789473684,0.0473469387755102
2,rbf_bootstrap,0.15789473684210525,0.07551020408163266
2,rbf_bootstrap,0.21052631578947367,0.0963265306122449
2,rbf_bootstrap,0.2631578947368421,0.11551020408163265
2,rbf_bootstrap,0.3157894736842105,0.14244897959183672
2,rbf_bootstrap,0.3684210526315789,0.17183673469387756
2,rbf_bootstrap,0.42105263157894735,0.1963265306122449
2,rbf_bootstrap,0.47368421052631576,0.22
2,rbf_bootstrap,0.5263157894736842,0.2436734693877551
2,rbf_bootstrap,0.5789473684210527,0.27183673469387754
2,rbf_bootstrap,0.631578947368421,0.3
2,rbf_bootstrap,0.6842105263157894,0.32612244897959186
2,rbf_bootstrap,0.7368421052631579,0.3620408163265306
2,rbf_bootstrap,0.7894736842105263,0.3942857142857143
2,rbf_bootstrap,0.8421052631578947,0.44285714285714284
2,rbf_bootstrap,0.894736842105263,0.5036734693877551
2,rbf_bootstrap,0.9473684210526315,0.563265306122449
2,rbf_bootstrap,1.0,0.9963265306122449
2,gp_mle,0.0,0.0
2,gp_mle,0.05263157894736842,0.054285714285714284
2,gp_mle,0.10526315789473684,0.11061224489795918
2,gp_mle,0.15789473684210525,0.16244897959183674
2,gp_mle,0.21052631578947367,0.21591836734693878
2,gp_mle,0.2631578947368421,0.2636734693877551
