axis_level,sample_fraction_pct,n_samples_requested,n_samples_actual,n_cells_evaluated,kriging_ndmax,sgs_ndmax,n_samples_within_range_mean,n_samples_within_range_max,frac_cells_over_kriging_ndmax,frac_cells_over_sgs_ndmax,kriging_ndmax_can_bind_at_all,sgs_ndmax_can_bind_at_all,kriging_n_eval_cells,kriging_nscore_table_n_points,kriging_nscore_table_vrg_min,kriging_nscore_table_vrg_max,kriging_nscore_table_vr_min,kriging_nscore_table_vr_max,kriging_n_cells_point_estimate_in_tail,kriging_max_var_ns,kriging_mean_var_ns,kriging_n_cells_p95_endpoint_in_tail,kriging_frac_cells_p95_endpoint_in_tail,kriging_n_cells_p95_saturated_at_backtr_bound,kriging_p95_phys_lo_min,kriging_p95_phys_hi_max,crps_n_tau,crps_tau_min,crps_tau_max,kriging_n_cells_crps_extreme_quantile_in_tail,kriging_frac_cells_crps_extreme_quantile_in_tail,kriging_n_cells_crps_extreme_saturated_at_backtr_bound,kriging_crps_extreme_phys_lo_min,kriging_crps_extreme_phys_hi_max,sgs_honor_max_abs_error,sgs_honor_mean_abs_error,sgs_honor_raw_max_abs_error,sgs_honor_raw_mean_abs_error,sgs_target_mean,sgs_target_stdev,sgs_realization_mean_min,sgs_realization_mean_max,sgs_realization_stdev_min,sgs_realization_stdev_max,sgs_max_abs_mean_dev_from_target,sgs_max_abs_stdev_dev_from_target,sgsim_near_singular_warnings,rbf_cv_folds,rbf_cv_test_fold_size_min,rbf_cv_test_fold_size_max,rbf_cv_train_size,rbf_best_epsilon,rbf_best_smoothing,rbf_smoothing_is_zero,rbf_n_bootstrap,rbf_n_bootstrap_deduplicated,gp_length_scale_m,gp_signal_variance_real,gp_noise_variance_real,gp_length_scale_at_bound,gp_signal_var_at_bound,gp_noise_var_at_bound,gp_log_marginal_likelihood,gp_posterior_sample_method
5,5.0,125,121,2379,50,20,28.928,60,0.076,0.6852,True,True,2379,121,-2.641070048882167,2.641070048881968,8.351311774820648,22.06933895218109,0,0.9203846802739666,0.38110072823848007,313,0.13156788566624633,0,4.235235394457086,26.75512440847462,199,0.002512562814070352,0.9974874371859297,920,0.38671710802858345,0,3.210602847324774,26.98232607120323,0.0,0.0,3.963177148819195,0.6395507759532155,15.0,3.0,14.64073414039902,15.082009674489502,2.6426300117357395,3.138581156309557,0.35926585960097945,0.3573699882642605,0,5,24,25,96,0.006311139092665418,1.0,False,10,0,116.13134573083444,5.947686649070972,1.6013470182877991,False,False,False,-127.45853203842657,manual_cholesky_fallback
2,2.0,50,50,2450,50,20,12.2832,27,0.0,0.112,False,True,2450,50,-2.3263478772934407,2.326347877293457,7.7156011286174655,21.42668354666464,36,1.0,0.5447430191278773,425,0.17346938775510204,0,3.0015526117994344,26.410945650949365,199,0.002512562814070352,0.9974874371859297,1660,0.6775510204081633,0,3.0001494089345235,26.91136188814351,0.0,0.0,4.918900496080624,0.853845493039558,15.0,3.0,14.544569985862845,15.441834849266016,2.897604687480585,3.3317217074746885,0.4554300141371552,0.33172170747468854,0,5,10,10,40,0.006311139092665418,0.1,False,10,0,120.08659484241856,7.513659496573493,1.627242964241124,False,False,False,-53.178492841034085,sklearn_sample_y_svd
1,1.0,25,25,2475,50,20,6.2412,15,0.0,0.0,False,True,2475,25,-2.053748922850744,2.053748922850748,10.428112698602131,22.105091505503086,5,1.0,0.6704706319890366,1175,0.47474747474747475,0,3.185270347303759,26.794172652864702,199,0.002512562814070352,0.9974874371859297,2270,0.9171717171717172,0,3.02841214161222,26.98342248410424,0.0,0.0,3.756167936533245,0.737129709919471,15.0,3.0,15.531663455680619,16.905337521712553,2.5982560913936013,3.3633626037092044,1.9053375217125534,0.40174390860639875,0,5,5,5,20,0.007870167973208601,0.0,True,10,10,54.09475426576202,8.094851056707311,0.4916334811861592,False,False,False,-33.68773360881016,sklearn_sample_y_svd
