axis_level,method,mse,umg,variance_mean,variance_sum
5,gp_mle,3.3998837020315715,0.9611656821751732,2.8363723801774348,6747.7298924421175
5,kriging,3.3122649297599,0.9490962589323244,3.048172799344494,7251.603089640551
5,rbf_bootstrap,3.725555172458018,0.5278688524590164,0.764742522391521,1819.3224607694283
5,sgs,3.612560450616712,0.9043295502311895,2.9398253208330978,6993.84443826194
2,gp_mle,3.8126452735175507,0.9929957035445757,4.289903858286342,10510.264452801539
2,kriging,4.722586839899652,0.9840741138560687,5.721536958367407,14017.765548000149
2,rbf_bootstrap,4.378617559812998,0.4473061224489797,0.6608268294076456,1619.0257320487317
2,sgs,4.696936929936932,0.9902524167561761,5.622665456530516,13775.530368499763
1,gp_mle,7.871656782460114,0.9751068580542266,7.1394079359909774,17670.03464157767
1,kriging,6.850659020331698,0.9737373737373738,6.822976634621161,16886.867170687372
1,rbf_bootstrap,7.671835265818577,0.42214141414141415,0.7575118874727707,1874.8419214951073
1,sgs,7.755562431028041,0.9103434343434343,6.20194603373975,15349.816433505881
