axis_level,method,crps,interval_width_mean_nominal,interval_width_p95,mse,umg
100,gp_mle,1.469512705251123,3.8078406151620356,10.245704321042664,6.863784440807778,0.9959303997699166
100,kriging,1.475622059112936,3.847660065843673,10.799350886205795,6.857374603580129,0.9914338178358886
100,rbf_bootstrap,1.8723762262971912,0.8537418109820795,2.297151337428459,6.853510013193259,0.32110130306851614
100,sgs,1.580503924487331,3.750050368124353,10.090208898931118,7.608454978629207,0.9278268179907525
200,gp_mle,1.247454354569445,2.982133948531103,8.023986760562709,5.10919389934944,0.9610340479192939
200,kriging,1.245307574839942,2.8016518399317274,7.772029254564679,4.991586711994216,0.917906683480454
200,rbf_bootstrap,1.6379400091021659,0.8564107373838238,2.304332580954781,5.390023957709826,0.35451870533837737
200,sgs,1.327809601112115,2.7548726192043183,7.412497830427892,5.5726992333043475,0.8736443883984868
300,gp_mle,1.0157823972557813,2.420727285611215,6.513417581475455,3.3998837020315715,0.9611656821751732
300,kriging,1.000295007169594,2.3622619637236046,6.665127570599621,3.3122649297599,0.9490962589323244
300,rbf_bootstrap,1.28952110298862,1.105017994667946,2.97325670557708,3.725555172458018,0.5278688524590164
300,sgs,1.051605399274354,2.33753960066806,6.2895856228357285,3.612560450616712,0.9043295502311895
400,gp_mle,0.8777647289567183,2.152704366281558,5.792252002280774,2.5285791707465832,0.9736864228667508
400,kriging,0.8544307834975324,2.146111233552919,6.0560316270753365,2.423967096051512,0.9757461118116857
400,rbf_bootstrap,1.114027031048691,0.9405317720802683,2.5306758909263487,2.779316255189118,0.46317780580075674
400,sgs,0.8991587939960848,2.1422668868882493,5.76416802016897,2.580978389222938,0.9393763412313887
500,gp_mle,0.8271031454748085,2.0511440285367777,5.51898499968225,2.235273921278139,0.9806774186411805
500,kriging,0.8084267542284775,2.005128592174022,5.632102846230312,2.125385907161182,0.9670449768810425
500,rbf_bootstrap,1.0374364309223483,0.858735951012151,2.310589001253531,2.4251955101232596,0.460697772173182
500,sgs,0.8497782072975352,2.0036462326037787,5.391183334062894,2.2832972602422115,0.9331651954602775
600,gp_mle,0.823659884242163,2.0446193722982238,5.501429196965487,2.211135354950207,0.9817570407734343
600,kriging,0.8030112001339348,1.8589919354511164,5.237675452515784,2.1123680407909466,0.9313156788566626
600,rbf_bootstrap,1.0213631415681792,0.8468600636692258,2.2786347146741135,2.3582203278142364,0.46229508196721314
600,sgs,0.8497836246987849,1.8696149374176274,5.030547173301413,2.273851753018347,0.8923917612442203
700,gp_mle,0.835016676274095,2.0743121710253987,5.581323201722808,2.2607692849688226,0.9814627994955865
700,kriging,0.815795719774889,1.7793169881148025,4.963828319346674,2.1624125236282206,0.9020596889449349
700,rbf_bootstrap,1.0326571730353138,0.8480502530624386,2.281837140889208,2.409405134177751,0.46036149642707025
700,sgs,0.8609974115188532,1.7865502522174452,4.807046168376781,2.308731872807096,0.8639764606977722
800,gp_mle,0.844209511331832,2.103231682393235,5.659136532828124,2.300713550997992,0.9817990752416983
800,kriging,0.8317568947957958,1.7018939839574831,4.722432255531442,2.2175319191960736,0.8691046658259773
800,rbf_bootstrap,1.041742164669848,0.8563615408247601,2.304200208450592,2.4514900081122653,0.4611181168558218
800,sgs,0.8726736922645589,1.703592825535796,4.58383376247134,2.333127510933946,0.8330390920554855
