axis_level,method,p_interval,fraction_in
100,kriging,0.0,0.0
100,kriging,0.05263157894736842,0.044976881042454814
100,kriging,0.10526315789473684,0.09709962168978563
100,kriging,0.15789473684210525,0.15636822194199243
100,kriging,0.21052631578947367,0.21185372005044137
100,kriging,0.2631578947368421,0.25851197982345525
100,kriging,0.3157894736842105,0.31021437578814626
100,kriging,0.3684210526315789,0.366120218579235
100,kriging,0.42105263157894735,0.4169819251786465
100,kriging,0.47368421052631576,0.47540983606557374
100,kriging,0.5263157894736842,0.5430853299705759
100,kriging,0.5789473684210527,0.598150483396385
100,kriging,0.631578947368421,0.6385035729298024
100,kriging,0.6842105263157894,0.682219419924338
100,kriging,0.7368421052631579,0.7343421605716688
100,kriging,0.7894736842105263,0.7759562841530054
100,kriging,0.8421052631578947,0.8364859184531316
100,kriging,0.894736842105263,0.8940731399747793
100,kriging,0.9473684210526315,0.9562841530054644
100,kriging,1.0,1.0
100,sgs,0.0,0.0
100,sgs,0.05263157894736842,0.044136191677175286
100,sgs,0.10526315789473684,0.08995376208490963
100,sgs,0.15789473684210525,0.13240857503152584
100,sgs,0.21052631578947367,0.1841109709962169
100,sgs,0.2631578947368421,0.2341319882303489
100,sgs,0.3157894736842105,0.29045817570407734
100,sgs,0.3684210526315789,0.3354350567465322
100,sgs,0.42105263157894735,0.38293400588482557
100,sgs,0.47368421052631576,0.424968474148802
100,sgs,0.5263157894736842,0.4817150063051702
100,sgs,0.5789473684210527,0.5275325767129045
100,sgs,0.631578947368421,0.5783942833123161
100,sgs,0.6842105263157894,0.6300966792770072
100,sgs,0.7368421052631579,0.682219419924338
100,sgs,0.7894736842105263,0.7368642286675073
100,sgs,0.8421052631578947,0.783942833123161
100,sgs,0.894736842105263,0.8377469525010509
100,sgs,0.9473684210526315,0.9012189995796553
100,sgs,1.0,1.0
100,rbf_bootstrap,0.0,0.0
100,rbf_bootstrap,0.05263157894736842,0.007566204287515763
100,rbf_bootstrap,0.10526315789473684,0.01639344262295082
100,rbf_bootstrap,0.15789473684210525,0.02564102564102564
100,rbf_bootstrap,0.21052631578947367,0.0332072299285414
100,rbf_bootstrap,0.2631578947368421,0.04539722572509458
100,rbf_bootstrap,0.3157894736842105,0.05590584279108869
100,rbf_bootstrap,0.3684210526315789,0.06683480453972257
100,rbf_bootstrap,0.42105263157894735,0.07692307692307693
100,rbf_bootstrap,0.47368421052631576,0.08575031525851198
100,rbf_bootstrap,0.5263157894736842,0.10004203446826397
100,rbf_bootstrap,0.5789473684210527,0.11181168558217738
100,rbf_bootstrap,0.631578947368421,0.12484237074401008
100,rbf_bootstrap,0.6842105263157894,0.13913408995376209
100,rbf_bootstrap,0.7368421052631579,0.15762925598991173
100,rbf_bootstrap,0.7894736842105263,0.1744430432955023
100,rbf_bootstrap,0.8421052631578947,0.19924337957124844
100,rbf_bootstrap,0.894736842105263,0.23118957545187052
100,rbf_bootstrap,0.9473684210526315,0.2765868011769651
100,rbf_bootstrap,1.0,0.8621269440941572
100,gp_mle,0.0,0.0
100,gp_mle,0.05263157894736842,0.05296343001261034
100,gp_mle,0.10526315789473684,0.1021437578814628
100,gp_mle,0.15789473684210525,0.1534258091635141
100,gp_mle,0.21052631578947367,0.20470786044556535
100,gp_mle,0.2631578947368421,0.2639764606977722
100,gp_mle,0.3157894736842105,0.31273644388398486
100,gp_mle,0.3684210526315789,0.36065573770491804
100,gp_mle,0.42105263157894735,0.41866330390920553
100,gp_mle,0.47368421052631576,0.4787725935266919
100,gp_mle,0.5263157894736842,0.5313156788566624
100,gp_mle,0.5789473684210527,0.5771332492643968
100,gp_mle,0.631578947368421,0.6326187473728457
100,gp_mle,0.6842105263157894,0.6851618327028163
100,gp_mle,0.7368421052631579,0.7385456073980664
100,gp_mle,0.7894736842105263,0.7906683480453972
100,gp_mle,0.8421052631578947,0.8465741908364859
100,gp_mle,0.894736842105263,0.89281210592686
100,gp_mle,0.9473684210526315,0.9474569146700295
100,gp_mle,1.0,1.0
200,kriging,0.0,0.0
200,kriging,0.05263157894736842,0.044976881042454814
200,kriging,0.10526315789473684,0.09163514081546868
200,kriging,0.15789473684210525,0.13787305590584278
200,kriging,0.21052631578947367,0.18957545187053385
200,kriging,0.2631578947368421,0.23791509037410677
200,kriging,0.3157894736842105,0.28247162673392184
200,kriging,0.3684210526315789,0.32618747372845736
200,kriging,0.42105263157894735,0.3812526271542665
200,kriging,0.47368421052631576,0.4224464060529634
200,kriging,0.5263157894736842,0.47330811265237493
200,kriging,0.5789473684210527,0.5191256830601093
200,kriging,0.631578947368421,0.5641025641025641
200,kriging,0.6842105263157894,0.6145439260193358
200,kriging,0.7368421052631579,0.6591004623791509
200,kriging,0.7894736842105263,0.7065994115174443
200,kriging,0.8421052631578947,0.7721731820092476
200,kriging,0.894736842105263,0.8390079865489701
200,kriging,0.9473684210526315,0.9167717528373266
200,kriging,1.0,1.0
200,sgs,0.0,0.0
200,sgs,0.05263157894736842,0.04918032786885246
200,sgs,0.10526315789473684,0.09415720891130727
200,sgs,0.15789473684210525,0.1403951240016814
200,sgs,0.21052631578947367,0.17906683480453972
200,sgs,0.2631578947368421,0.22152164775115596
200,sgs,0.3157894736842105,0.26439680538041194
200,sgs,0.3684210526315789,0.3064312736443884
200,sgs,0.42105263157894735,0.3514081546868432
200,sgs,0.47368421052631576,0.3955443463640185
200,sgs,0.5263157894736842,0.4396805380411938
200,sgs,0.5789473684210527,0.4930643127364439
200,sgs,0.631578947368421,0.5350987810004203
200,sgs,0.6842105263157894,0.5817570407734343
200,sgs,0.7368421052631579,0.6279949558638083
200,sgs,0.7894736842105263,0.6746532156368222
200,sgs,0.8421052631578947,0.7276166456494325
200,sgs,0.894736842105263,0.7898276586801177
200,sgs,0.9473684210526315,0.8650693568726355
200,sgs,1.0,0.9995796553173603
200,rbf_bootstrap,0.0,0.0
200,rbf_bootstrap,0.05263157894736842,0.014712063892391762
200,rbf_bootstrap,0.10526315789473684,0.032366540563261874
200,rbf_bootstrap,0.15789473684210525,0.04665825977301387
200,rbf_bootstrap,0.21052631578947367,0.060109289617486336
200,rbf_bootstrap,0.2631578947368421,0.07608238755779739
200,rbf_bootstrap,0.3157894736842105,0.08953341740226986
200,rbf_bootstrap,0.3684210526315789,0.10508617065994115
200,rbf_bootstrap,0.42105263157894735,0.12147961328289197
200,rbf_bootstrap,0.47368421052631576,0.13619167717528374
200,rbf_bootstrap,0.5263157894736842,0.1534258091635141
200,rbf_bootstrap,0.5789473684210527,0.16897856242118536
200,rbf_bootstrap,0.631578947368421,0.18915510718789408
200,rbf_bootstrap,0.6842105263157894,0.21521647751155948
200,rbf_bootstrap,0.7368421052631579,0.24169819251786465
200,rbf_bootstrap,0.7894736842105263,0.2686002522068096
200,rbf_bootstrap,0.8421052631578947,0.29970575872215216
200,rbf_bootstrap,0.894736842105263,0.3417402269861286
200,rbf_bootstrap,0.9473684210526315,0.4014291719209752
200,rbf_bootstrap,1.0,0.9243379571248423
200,gp_mle,0.0,0.0
200,gp_mle,0.05263157894736842,0.04455653635981505
200,gp_mle,0.10526315789473684,0.0949978982765868
200,gp_mle,0.15789473684210525,0.1483816729718369
200,gp_mle,0.21052631578947367,0.20470786044556535
200,gp_mle,0.2631578947368421,0.2492643968053804
200,gp_mle,0.3157894736842105,0.2921395544346364
