case,axis,axis_level,method,metric,value
range_axis,range,600,kriging,mse,2.1123680407909466
range_axis,range,600,kriging,umg,0.9313156788566626
range_axis,range,600,rbf_bootstrap,crps,1.0626285086699245
range_axis,range,600,rbf_bootstrap,interval_width_mean_nominal,0.6329058342725528
range_axis,range,600,rbf_bootstrap,interval_width_p95,1.7029510151236884
range_axis,range,600,rbf_bootstrap,mse,2.43855079193027
range_axis,range,600,rbf_bootstrap,umg,0.4008827238335435
range_axis,range,600,sgs,crps,0.8497836246987849
range_axis,range,600,sgs,interval_width_mean_nominal,1.8696149374176274
range_axis,range,600,sgs,interval_width_p95,5.030547173301413
range_axis,range,600,sgs,mse,2.273851753018347
range_axis,range,600,sgs,umg,0.8923917612442203
range_axis,range,700,gp_mle,crps,0.835016676274095
range_axis,range,700,gp_mle,interval_width_mean_nominal,2.0743121710253987
range_axis,range,700,gp_mle,interval_width_p95,5.581323201722808
range_axis,range,700,gp_mle,mse,2.2607692849688226
range_axis,range,700,gp_mle,umg,0.9814627994955865
range_axis,range,700,kriging,crps,0.815795719774889
range_axis,range,700,kriging,interval_width_mean_nominal,1.7793169881148025
range_axis,range,700,kriging,interval_width_p95,4.963828319346674
range_axis,range,700,kriging,mse,2.1624125236282206
range_axis,range,700,kriging,umg,0.9020596889449349
range_axis,range,700,rbf_bootstrap,crps,1.0668379482686177
range_axis,range,700,rbf_bootstrap,interval_width_mean_nominal,0.6359063098017652
range_axis,range,700,rbf_bootstrap,interval_width_p95,1.7110243533228844
range_axis,range,700,rbf_bootstrap,mse,2.443559350770966
range_axis,range,700,rbf_bootstrap,umg,0.39613282891971424
range_axis,range,700,sgs,crps,0.8609974115188532
range_axis,range,700,sgs,interval_width_mean_nominal,1.7865502522174452
range_axis,range,700,sgs,interval_width_p95,4.807046168376781
range_axis,range,700,sgs,mse,2.308731872807096
range_axis,range,700,sgs,umg,0.8639764606977722
range_axis,range,800,gp_mle,crps,0.844209511331832
range_axis,range,800,gp_mle,interval_width_mean_nominal,2.103231682393235
range_axis,range,800,gp_mle,interval_width_p95,5.659136532828124
range_axis,range,800,gp_mle,mse,2.300713550997992
range_axis,range,800,gp_mle,umg,0.9817990752416983
range_axis,range,800,kriging,crps,0.8317568947957958
range_axis,range,800,kriging,interval_width_mean_nominal,1.7018939839574831
range_axis,range,800,kriging,interval_width_p95,4.722432255531442
range_axis,range,800,kriging,mse,2.2175319191960736
range_axis,range,800,kriging,umg,0.8691046658259773
range_axis,range,800,rbf_bootstrap,crps,1.073308449942462
range_axis,range,800,rbf_bootstrap,interval_width_mean_nominal,0.6457668413905676
range_axis,range,800,rbf_bootstrap,interval_width_p95,1.7375559499198896
range_axis,range,800,rbf_bootstrap,mse,2.454545963162377
range_axis,range,800,rbf_bootstrap,umg,0.3936107608238756
range_axis,range,800,sgs,crps,0.8726736922645589
range_axis,range,800,sgs,interval_width_mean_nominal,1.703592825535796
range_axis,range,800,sgs,interval_width_p95,4.58383376247134
range_axis,range,800,sgs,mse,2.333127510933946
range_axis,range,800,sgs,umg,0.8330390920554855
